,ตัวอย่างข้อมูลแพ็คเกจ,,,,,,,,,,,
No,Product Code,Name,destination,duration,price,description,,,,availableDates,imageUrl,reviews
,,,,,,,,,,,,
ลำดับ,รหัสแพ็คเกจทัวร์,ชื่อแพ็คเกจทัวร์,เมือง,ระยะเวลาในทัวร์,ราคาของแพ็คเกจ (บาท),คำอธิบายทัวร์,รายละเอียดกิจกรรมแต่ละวัน (อาจจะเป็นกิจกรรมที่ทำในแต่ละวันของทัวร์),,,วันที่ที่แพ็คเกจท่องเที่ยวสามารถจองได้,ภาพที่ใช้แสดงแพ็คเกจ,ความคิดเห็นจากลูกค้าเกี่ยวกับแพ็คเกจ
1,CHINAHARBINMOHE10_17JAN,ฮาร์บิน - โม่เหอ 8 วัน 5 คืน สัมผัสอากาศหนาวติดลบ -30º,"Harbin, China",8 วัน 5 คืน,"59,990.-",ฮาร์บิน - โม่เหอ สัมผัสอากาศหนาวติดลบ -30º,Link,,,1 เดือนก่อนเดินทาง ,,-
2,CHINAHARBINSNOWTOWN03_09JAN,ฮาร์บิน - หมู่บ้านหิมะ 7 วัน 5 คืน ,"Harbin, China",7 วัน 5 คืน,"46,900.-","ฮาร์บิน - หมู่บ้านหิมะ

เตรียมตัวออกเดินทางสู่ประสบการณ์ฤดูหนาวสุดพิเศษที่เมืองฮาร์บินและหมู่บ้านหิมะ เมืองแห่งเทศกาลน้ำแข็งระดับโลกและบรรยากาศเหมือนในเทพนิยาย ที่นี่คุณจะได้สัมผัสกับความสวยงามของธรรมชาติและกิจกรรมในฤดูหนาวแบบจัดเต็ม

จุดเด่นของทัวร์:

- เทศกาลน้ำแข็งและหิมะฮาร์บิน: ชมประติมากรรมน้ำแข็งสุดอลังการที่ประดับไฟหลากสีในยามค่ำคืน เพลิดเพลินกับกิจกรรมสุดสนุก เช่น สไลเดอร์น้ำแข็ง และถ่ายรูปกับเมืองน้ำแข็งที่ไม่เหมือนใคร
- หมู่บ้านหิมะ: หมู่บ้านที่ถูกปกคลุมด้วยหิมะหนาตลอดฤดูหนาว ให้บรรยากาศราวกับเทพนิยาย คุณสามารถเดินชมวิวหิมะบนสะพานไม้ ชมแสงไฟสวยงามในยามค่ำคืน และร่วมสนุกกับการเต้นรำรอบกองไฟแบบพื้นเมือง
- กิจกรรมฤดูหนาว: สัมผัสประสบการณ์ขุดโสมในหิมะ นั่งรถม้าเลื่อนแบบดั้งเดิม และตกปลาในธารน้ำแข็ง ท้าทายความหนาวพร้อมความสนุกแบบใหม่ที่ไม่ควรพลาด
- วัฒนธรรมและสถานที่สำคัญ: เยี่ยมชมโบสถ์เซนต์โซเฟีย ถนนคนเดินจงหยาง และสัมผัสวัฒนธรรมจีน-รัสเซียที่ผสมผสานกันอย่างลงตัว",Link,,,1 เดือนก่อนเดินทาง ,,-
3,CHINAHABINCHANGBAISAN,ฮาร์บิน - ภูเขาฉางไป๋ 9 วัน 7 คืน ,"Harbin, China",9 วัน 7 คืน ,"55,900.-","ไฮไลต์โปรแกรม
- ฮาร์บิน (Harbin)เพลิดเพลินกับการชม โบสถ์เซนต์โซเฟีย ศิลปะรัสเซียสุดอลังการ และ ถนนจงหยาง แหล่งช้อปปิ้งชื่อดังที่โดดเด่นด้วยสถาปัตยกรรมสไตล์ยุโรปชมความงามที่สร้างจากน้ำแข็งและหิมะในงาน Harbin Ice and Snow Festival เทศกาลระดับโลกที่มีสีสันและความน่าทึ่งยามค่ำคืน
- ย่าปูลี่ (Yabuli)สัมผัสประสบการณ์เล่นสกีระดับมืออาชีพในรีสอร์ตฤดูหนาวที่ใหญ่ที่สุดในเอเชีย พร้อมกิจกรรมหลากหลาย เช่น นั่งรถม้าเลื่อนและตกปลาในธารน้ำแข็ง
- หมู่บ้านหิมะ (Snow Village)ชมหมู่บ้านที่ถูกปกคลุมด้วยหิมะหนาแน่นตลอดทั้งปี บรรยากาศเหมือนในเทพนิยาย พร้อมกิจกรรมสนุกสนาน เช่น สโนว์โมบิล และการแสดงพื้นเมืองรอบกองไฟ
- ภูเขาฉางไป๋ซาน (Changbai Mountain)ชมความงามของ ทะเลสาบสวรรค์ ทะเลสาบภูเขาไฟที่ลึกที่สุดในจีนและเป็นหนึ่งในทะเลสาบที่สวยที่สุดในโลก พร้อมชมน้ำตกฉางไป๋ที่ยิ่งใหญ่และแช่บ่อน้ำพุร้อนท่ามกลางหิมะ",,,,1 เดือนก่อนเดินทาง ,,-
4,BEIJINGUNIVERSALSTUDIO,ปักกิ่ง Universal studio 6 วัน 5 คืน,"Beijing, China",6 วัน 5 คืน,"xx,xxx.-","ไฮไลต์โปรแกรม
สถานที่ท่องเที่ยวเด่นในปักกิ่ง
- จัตุรัสเทียนอันเหมิน – จัตุรัสที่ใหญ่ที่สุดในโลกและเป็นศูนย์กลางประวัติศาสตร์และการเมืองของจีน
- พระราชวังต้องห้าม (กู้กง) – พระราชวังโบราณอายุกว่า 600 ปี สถานที่พำนักของจักรพรรดิราชวงศ์หมิงและชิง
- พระราชวังโกงหวาง (Prince Gong’s Mansion) – คฤหาสน์ขุนนางผู้ทรงอิทธิพลในสมัยราชวงศ์ชิง
- ตรอกโบราณปักกิ่ง (Hutong) – สัมผัสบรรยากาศเมืองเก่าพร้อมชมบ้านแบบโบราณ
- ถนนหวังฝูจิ่ง – แหล่งช้อปปิ้งและสตรีทฟู้ดชื่อดังของปักกิ่ง
 สถานที่ทางวัฒนธรรมและธรรมชาติ
- กำแพงเมืองจีน ด่านปาต้าหลิง – หนึ่งในเจ็ดสิ่งมหัศจรรย์ของโลก จุดยอดนิยมของกำแพงเมืองจีน
- พระราชวังฤดูร้อน (อี้เหอหยวน) – พระราชวังโบราณริมทะเลสาบที่สวยงามที่สุดในปักกิ่ง
- สวนสาธารณะโอลิมปิก – จุดชมสนามกีฬารังนก (Bird’s Nest) และศูนย์กีฬาทางน้ำ (Water Cube)
- หอสักการะฟ้า (Temple of Heaven) – วัดโบราณที่ใช้ประกอบพิธีกรรมของจักรพรรดิ
 กิจกรรมและการแสดงพิเศษ
- พิธีเชิญธงชาติจีน – สัมผัสพิธีเชิญธงอย่างเป็นทางการที่จัตุรัสเทียนอันเหมิน
- การแสดงกายกรรมโอลิมปิก – การแสดงสุดตื่นตาตื่นใจที่ได้รับแรงบันดาลใจจากกีฬาโอลิมปิก
Universal Studios Beijing (ไฮไลต์ของทริป!)
- The Wizarding World of Harry Potter – โลกของแฮร์รี่ พอตเตอร์พร้อมปราสาทฮอกวอตส์และเครื่องเล่นสุดอลังการ
- Jurassic World Isla Nublar – ผจญภัยไปกับไดโนเสาร์เสมือนจริง
- Transformers Metrobase – ต่อสู้ไปกับ Autobots ในเครื่องเล่น 3D สุดล้ำ
- Minion Land – โลกของเหล่ามินเนียนจาก Despicable Me
- Kung Fu Panda Land of Awesomeness – สนุกกับธีมกังฟูแพนด้าและเครื่องเล่นแนวผจญภัย
ทริป 6 วัน 5 คืน ที่รวมทั้ง ประวัติศาสตร์ วัฒนธรรม ธรรมชาติ และสวนสนุกระดับโลก เหมาะสำหรับทุกวัย!",ปักกิ่งuniversal.pdf,,,1 เดือนก่อนเดินทาง ,,
5,GUIZHOU,กุ้ยโจว 6 วัน 5 คืน,"Guizhou, China",6 วัน 5 คืน,"xx,xxx.-","ไฮไลต์โปรแกรม
- หมู่บ้าน Danzhai Wanda – หมู่บ้านวัฒนธรรมชนเผ่าแม้วและถง ชมการเต้นรำพื้นเมือง งานฝีมือ และสถาปัตยกรรมดั้งเดิม
- หมู่บ้านชนเผ่าเหมียวซีเจียง – หมู่บ้านชนเผ่าเหมียวที่ใหญ่ที่สุดในโลก สัมผัสบรรยากาศบ้านเรือนไม้แบบ ""บ้านเสาสูง"" ท่ามกลางหุบเขา
- ลี่ปู๋ เสี่ยวฉีคง – สถานที่ธรรมชาติอันงดงาม มีสะพานหินโค้ง 7 โค้ง น้ำตก และทะเลสาบสีมรกต
- อุทยานหวงกั่วซู่ – น้ำตกที่ใหญ่ที่สุดในจีนและเอเชีย พร้อมจุดชมวิวที่สวยงาม
- เมืองโบราณชิงหยาน – เมืองโบราณอายุ 600 ปี สัมผัสวัฒนธรรมและสถาปัตยกรรมจีนดั้งเดิม
- สะพานเทียนซิง – สะพานหินธรรมชาติที่เกิดจากการกัดเซาะของน้ำ มีบรรยากาศเงียบสงบ
ประสบการณ์พิเศษ
- ชมหมู่บ้านชนเผ่าดั้งเดิม สัมผัสวัฒนธรรมและประเพณีแท้ ๆ
- ดื่มด่ำกับธรรมชาติ น้ำตก ถ้ำหินปูน และทะเลสาบสีเขียวใส
- ล่องเรือชมวิวหมู่บ้าน (มีค่าใช้จ่ายเพิ่มเติม)
- นั่งรถไฟฟ้าชมหมู่บ้านซีเจียงและอุทยานหวงกั่วซู่ (มีค่าใช้จ่ายเพิ่มเติม)
- เพลิดเพลินกับการแสดงพื้นเมืองและวัฒนธรรมชนเผ่า
โปรแกรมนี้เหมาะสำหรับผู้ที่ชื่นชอบ ธรรมชาติ วัฒนธรรมโบราณ และประสบการณ์ที่ไม่เหมือนใคร ในมณฑลกุ้ยโจว ประเทศจีน!",กุ้ยโจว.pdf,,,1 เดือนก่อนเดินทาง,,
6,GUILIN,กุ้ยหลิน 6 วัน 5 คืน,"Guilin, China",6 วัน 5 คืน,"xx,xxx.-","ไฮไลต์โปรแกรม
สถานที่ท่องเที่ยวธรรมชาติและวัฒนธรรม
- น้ำตกกู๋ตง – น้ำตกที่สามารถเดินลุยน้ำและสัมผัสธรรมชาติอันบริสุทธิ์
- เขาช้าง (Elephant Trunk Hill) – ภูเขารูปช้าง สัญลักษณ์ของเมืองกุ้ยหลิน
- ล่องเรือสำราญแม่น้ำหลีเจียง (Li River) – ชมทิวทัศน์ภูเขาหินปูนที่งดงามที่สุดของจีน
- ถ้ำหยินจื้อ (Silver Cave) – ถ้ำหินปูนที่มีหินงอกหินย้อยเปล่งประกายคล้ายเงิน
- ภาพวาดสิบลี้ – เส้นทางชมวิวที่สวยราวกับภาพวาดจีนโบราณ
- ล่องแพไม้ไผ่แม่น้ำยู่หลง – ล่องแพสัมผัสธรรมชาติอันเงียบสงบและโรแมนติก
- ถนนตะวันตกหยางซั่ว – ถนนเก่าแก่ที่เต็มไปด้วยร้านค้าและวัฒนธรรมจีนผสมตะวันตก
สถานที่พิเศษ
- หมู่บ้านชนเผ่าต้ง – สัมผัสวัฒนธรรมชนเผ่าพื้นเมือง เช่น สะพานลมและฝน และหอระฆัง
- สวรรค์ในอุดมคติ – ดินแดนจำลองจากวรรณกรรมจีนโบราณ ""ดินแดนแห่งท้อบาน""
- เจดีย์พระอาทิตย์และพระจันทร์ – สถาปัตยกรรมกลางทะเลสาบซานหู สื่อถึงความรุ่งเรืองและสงบ
การแสดงและกิจกรรมพิเศษ
- การแสดง Dreamlike Lijiang – การแสดงที่ผสมผสานศิลปะ การเต้นรำ และแสงสีเสียง
- กิจกรรมอิสระในเมืองกุ้ยหลิน – ช้อปปิ้งและเดินเที่ยวตามอัธยาศัย
 ทริป 6 วัน 5 คืน ที่เต็มไปด้วย ธรรมชาติ วัฒนธรรม และกิจกรรมผ่อนคลาย เหมาะสำหรับผู้ที่ต้องการสัมผัสมนต์เสน่ห์ของกุ้ยหลิน!",กุ้ยหลิน.pdf,,,1 เดือนก่อนเดินทาง,,
