,ตัวอย่างข้อมูลแพ็คเกจ,,,,,,,,,,,,
No,Product Code,Name,destination,duration,price,description,,,Uni,Image Uni,availableDates,imageUrl,reviews
,,,,,,,,,,,,,
ลำดับ,รหัสแพ็คเกจเรียน,ชื่อแพ็คเกจเรียน,เมือง,ระยะเวลาในเรียน,ราคาของแพ็คเกจ (บาท),คำอธิบายโครงการ,รายละเอียดกิจกรรมแต่ละวัน (อาจจะเป็นกิจกรรมที่ทำในแต่ละวันของทัวร์),,ข้อมูลเกี่ยวกับโรงแรมที่พัก,,วันที่ที่แพ็คเกจท่องเที่ยวสามารถจองได้,ภาพที่ใช้แสดงแพ็คเกจ,ความคิดเห็นจากลูกค้าเกี่ยวกับแพ็คเกจ
EX,TOUR01,"""ทัวร์เชียงใหม่ 3 วัน 2 คืน","เชียงใหม่, ประเทศไทย",3 วัน 2 คืน,"15,000","สัมผัสวัฒนธรรมและธรรมชาติของเชียงใหม่ พักโรงแรมระดับ 4 ดาว, เที่ยววัดพระธาตุดอยสุเทพ, ล่องแพแม่น้ำปิง, และเดินชมตลาดไนท์บาซาร์","""เช้า: เช็คอินที่โรงแรม"", 
""กลางวัน: เที่ยววัดพระธาตุดอยสุเทพ"", 
""บ่าย: ชมวิวเมืองเชียงใหม่จากจุดชมวิว"", ""เย็น: ทานอาหารค่ำที่ร้านอาหารท้องถิ่น""",รูปมหาวิทยาลัย,"โรงแรมเชียงใหม่ โกลเด้น แกรนด์ , star 4 , 123 ถนนเชียงใหม่, จังหวัดเชียงใหม่, ประเทศไทย , สระว่ายน้ำ"", ""ห้องออกกำลังกาย"", ""Wi-Fi ฟรี"", ""ห้องอาหาร",,"""2024-12-01"", ""2024-12-15"", ""2025-01-10"", ""2025-02-20""",,ทัวร์นี้ยอดเยี่ยมมาก! ไกด์บริการดี และกิจกรรมก็สนุกมาก
1,HITWINTER2025,"""เรียนจีน เที่ยวหิมะเมืองหนาว Harbin Institute of technology""","Harbin, China ",27 Days,"ห้องเดี่ยว 55,900","เรียนภาษาจีนกับมหาวิทยาลัย HIT พร้อมการเรียนการสอนแบบ พูด ฟัง อ่าน และเขียน พร้อมเปิดประสบการณ์เที่ยวสถานที่ดังเมืองฮาร์บิน ชมเมืองหิมะเมืองหนาว ฉลองปีใหม่กับเมืองหิมะ – แม่น้ำซงฮวาเจียง – ถนนคนเดินจงหยาง – เมืองเก่าฮาร์บิน 
– สวนสาธารณะดนตรี – นั่งกระเช้าข้ามแม่น้ำซงหัว – พิพิธภัณฑ์เฮยหลงเจียง",https://drive.google.com/file/d/1zEu2-hcQ_tjq1HYDI-Gp4HGLe12qJ5aT/view?usp=sharing,,Harbin Institute of Technology,https://drive.google.com/drive/u/0/folders/1TkICqeoXySDX00MxmkHGxixJYfQTqcLm,"2024-12-21, ""2025-1-18",https://drive.google.com/file/d/1I9NDKXAKOEOxZnIJV02LvydaSdTEjiZt/view?usp=drivesdk,เรียนภาษาจีนพร้อมทั้งเที่ยวอีก ไม่มีพื้นฐานสามารถไปได้ คือดีมากกก!! ใครที่ยังไม่มีพื้นฐานอยากให้มาลองสักครั้ง มีทั้งกิจกรรม ได้เเข้าเทศกาลฟิมะฟรี บอกเลยว่าห้ามพลาด 
2,HITOCT2025,"""เรียนจีน เที่ยวจีน 2 สัปดาห์ Harbin Institute of technology""","Harbin, China ",14 Days,"ห้องเดี่ยว 46,900","เรียนภาษาจีนกับมหาวิทยาลัย HIT พร้อมการเรียนการสอนแบบ พูด ฟัง อ่าน และเขียน พร้อมเปิดประสบการณ์เที่ยวสถานที่ดังเมืองฮาร์บิน ชมเมืองหิมะเมืองหนาว ฉลองปีใหม่กับเมืองหิมะ – แม่น้ำซงฮวาเจียง – ถนนคนเดินจงหยาง – เมืองเก่าฮาร์บิน 
– สวนสาธารณะดนตรี – นั่งกระเช้าข้ามแม่น้ำซงหัว – พิพิธภัณฑ์เฮยหลงเจียง",https://drive.google.com/file/d/1DljSExFSfJYXslfLCecyC_QpXvcBFr34/view?usp=drivesdk,,Harbin Institute of Technology,https://drive.google.com/drive/u/0/folders/1TkICqeoXySDX00MxmkHGxixJYfQTqcLm,2025/10/12 - 2025/10/27,https://drive.google.com/file/d/1Ho4r6ugx67yCtouOwb6nQcZmUN_K848F/view?usp=drivesdk,"ที่หนูเรียนจะเป็นคลาส B ค่ะตอนเรียนจะมีพินอินนิดๆหน่อยๆอาจารย์ในคลาสใจดีมากกกกกเรียนสนุกสุดๆ การเรียนจีนที่นี่คือดีเลยค่ะ สำเนียงคนฮาร์บินฟังง่าย เข้าใจง่าย ที่นี้เริ่มเรียน 
08:00-12:20 น. บางวันหนูก็จะมีเรียนบ่ายด้วยถึง 17:00 น.
เเต่ส่วนมากเรียนสนุกไม่เครียดค่ะ อยู่จีนไม่ต้องกังวลเลยพวกพี่ๆพร้อมให้คำปรึกษา เเบบ 24 ชม. ที่เป็น 24 ชม. จริงๆ ค้าบ"
3,HIT2W2025,"""เรียนจีน 2 สัปดาห์ Harbin Institute of technology"" ","Harbin, China ",14 Days,"ห้องเดี่ยว 39,990",โครงการเรียนต่อภาษาจีนกับ มหาวิทยาลัยเทคโนโลยีฮาร์บิน หนึ่งในมหาวิทยาลัยชั้นนำของประเทศจีน มีชื่อเสียงในด้านการวิจัยและการศึกษาในสาขาวิทยาศาสตร์และเทคโนโลยี ก่อตั้งขึ้นในปี 1920 และเป็นหนึ่งในมหาวิทยาลัยกลุ่ม C9 League ด้วยการเรียนการสอนเป็นแบบการพูด ฟัง อ่าน และการเขียน  พร้อมเปิดประสบการณ์เรียนมหาวิทยาลัยดัง Top 10 ของประเทศจีน Harbin Institute of Technology มหาวิทยาลัยชื่อดังของจีน,ช่วงเวลาการรับสมัคร 1-2 เดือนก่อนเดินทาง วันและเวลาเดินทางสอบถามกับทางบริษัทอีกครั้ง,,Harbin Institute of Technology,https://drive.google.com/drive/u/0/folders/1TkICqeoXySDX00MxmkHGxixJYfQTqcLm,เดินทาง มีนาคมและกันยายน,https://drive.google.com/file/d/1-4n9tF33moIyrFKCffLAdxDjMqPlfEEZ/view?usp=drivesdk,
,,,,,,,,,,,,,
4,HIT3W2025,"""เรียนจีน 3 สัปดาห์ Harbin Institute of technology""","Harbin, China ",3 สัปดาห์,"ห้องคู่ 43,900",โครงการเรียนต่อภาษาจีนกับ มหาวิทยาลัยเทคโนโลยีฮาร์บิน หนึ่งในมหาวิทยาลัยชั้นนำของประเทศจีน มีชื่อเสียงในด้านการวิจัยและการศึกษาในสาขาวิทยาศาสตร์และเทคโนโลยี ก่อตั้งขึ้นในปี 1920 และเป็นหนึ่งในมหาวิทยาลัยกลุ่ม C9 League ด้วยการเรียนการสอนเป็นแบบการพูด ฟัง อ่าน และการเขียน  พร้อมเปิดประสบการณ์เรียนมหาวิทยาลัยดัง Top 10 ของประเทศจีน Harbin Institute of Technology มหาวิทยาลัยชื่อดังของจีน,ช่วงเวลาการรับสมัคร 1-2 เดือนก่อนเดินทาง วันและเวลาเดินทางสอบถามกับทางบริษัทอีกครั้ง,,Harbin Institute of Technology,https://drive.google.com/drive/u/0/folders/1TkICqeoXySDX00MxmkHGxixJYfQTqcLm,เดินทาง มีนาคมและกันยายน,https://drive.google.com/file/d/1QKpKLTHorMifDpMoM8ZnDHEpduMo71mz/view?usp=drivesdk,
